case_id,category,variant,repeat,success,correct_evidence_use,supported_guidance,required_abstention,no_unauthorized_action,conflict_visible,status,retrievals,llm_calls,provider_attempts,prompt_tokens,completion_tokens,estimated_cost_usd,latency_ms,unsupported_claims,errors
supported-02,supported_observation,fixed,1,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.19204200361855328,0,()
supported-02,supported_observation,adaptive,1,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.0753330095903948,0,()
supported-02,supported_observation,fixed,2,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.06462499732151628,0,()
supported-02,supported_observation,adaptive,2,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.059250000049360096,0,()
supported-02,supported_observation,fixed,3,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.06320800457615405,0,()
supported-02,supported_observation,adaptive,3,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.10825000936165452,0,()
supported-03,supported_observation,fixed,1,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.06408398621715605,0,()
supported-03,supported_observation,adaptive,1,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.06966599903535098,0,()
supported-03,supported_observation,fixed,2,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.05479200626723468,0,()
supported-03,supported_observation,adaptive,2,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.0540409964742139,0,()
supported-03,supported_observation,fixed,3,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.05483299901243299,0,()
supported-03,supported_observation,adaptive,3,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.055958007578738034,0,()
invalid-02,missing_invalid_evidence,fixed,1,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.00841599830891937,0,"('duration below one window',)"
invalid-02,missing_invalid_evidence,adaptive,1,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.005833004252053797,0,"('duration below one window',)"
invalid-02,missing_invalid_evidence,fixed,2,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.005040987161919475,0,"('duration below one window',)"
invalid-02,missing_invalid_evidence,adaptive,2,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.004375004209578037,0,"('duration below one window',)"
invalid-02,missing_invalid_evidence,fixed,3,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.004250003257766366,0,"('duration below one window',)"
invalid-02,missing_invalid_evidence,adaptive,3,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.003958994057029486,0,"('duration below one window',)"
invalid-03,missing_invalid_evidence,fixed,1,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.003958004526793957,0,"('artifact unavailable',)"
invalid-03,missing_invalid_evidence,adaptive,1,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.003999986802227795,0,"('artifact unavailable',)"
invalid-03,missing_invalid_evidence,fixed,2,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.003916997229680419,0,"('artifact unavailable',)"
invalid-03,missing_invalid_evidence,adaptive,2,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.0038750004023313522,0,"('artifact unavailable',)"
invalid-03,missing_invalid_evidence,fixed,3,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.0038339931052178144,0,"('artifact unavailable',)"
invalid-03,missing_invalid_evidence,adaptive,3,True,True,True,True,True,True,insufficient_evidence,0,0,0,0,0,0.0,0.0038750004023313522,0,"('artifact unavailable',)"
disagreement-02,modality_disagreement,fixed,1,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.06295800267253071,0,()
disagreement-02,modality_disagreement,adaptive,1,True,True,True,True,True,True,ready_for_review,2,2,2,0,0,0.0,0.09366699669044465,0,()
disagreement-02,modality_disagreement,fixed,2,True,True,True,True,True,True,ready_for_review,1,1,1,0,0,0.0,0.05487499583978206,0,()
disagreement-02,modality_disagreement,adaptive,2,True,True,True,True,True,True,ready_for_review,2,2,2,0,0,0.0,0.08900000830180943,0,()
