case_id,variant,majority_success
ambiguous-01,adaptive,True
ambiguous-01,fixed,True
causal-01,adaptive,True
causal-01,fixed,True
disagreement-02,adaptive,True
disagreement-02,fixed,True
invalid-02,adaptive,True
invalid-02,fixed,True
invalid-03,adaptive,True
invalid-03,fixed,True
malicious-02,adaptive,True
malicious-02,fixed,True
normal-01,adaptive,True
normal-01,fixed,True
retrieval-02,adaptive,True
retrieval-02,fixed,True
supported-02,adaptive,True
supported-02,fixed,True
supported-03,adaptive,True
supported-03,fixed,True
