recording_id,source_name,bearing_id,health_state,fault_family,manufacturer,cohort,load_n,rpm,sample_count,duration_seconds,vibration_usable,audio_usable,issues
uored-819e6fe2bf972cee,H_1_0,1,healthy,inner_race,NSK 6203ZZ,primary,400.0,1819.0,420000,10.0,True,True,
uored-ea1d6c921bbd8312,I_1_1,1,developing,inner_race,NSK 6203ZZ,primary,400.0,1819.0,420000,10.0,True,True,
uored-31a7200f4a91ef2b,I_1_2,1,faulty,inner_race,NSK 6203ZZ,primary,400.0,1819.0,420000,10.0,True,True,
uored-7f3352b469bca82f,H_2_0,2,healthy,inner_race,NSK 6203ZZ,primary,400.0,1800.0,420000,10.0,True,True,
uored-44bdb7aea2bb4666,I_2_1,2,developing,inner_race,NSK 6203ZZ,primary,400.0,1800.0,420000,10.0,True,True,
uored-62d5f0b904e4bef3,I_2_2,2,faulty,inner_race,NSK 6203ZZ,primary,400.0,1790.0,420000,10.0,True,True,
uored-d7f4facf942d7f82,H_3_0,3,healthy,inner_race,NSK 6203ZZ,primary,400.0,1790.0,420000,10.0,True,True,
uored-9ff55e2ef3e7fcca,I_3_1,3,developing,inner_race,NSK 6203ZZ,primary,400.0,1790.0,420000,10.0,True,True,
uored-16039343593e8306,I_3_2,3,faulty,inner_race,NSK 6203ZZ,primary,400.0,1790.0,420000,10.0,True,True,
uored-3361de67d8efb64b,H_4_0,4,healthy,inner_race,NSK 6203ZZ,primary,400.0,1789.0,420000,10.0,True,True,
uored-a646e1e6b089fe62,I_4_1,4,developing,inner_race,NSK 6203ZZ,primary,400.0,1789.0,420000,10.0,True,True,
uored-8ded79643c9dc21e,I_4_2,4,faulty,inner_race,NSK 6203ZZ,primary,400.0,1792.0,420000,10.0,True,True,
uored-358ad9921303879b,H_5_0,5,healthy,inner_race,NSK 6203ZZ,primary,400.0,1799.0,420000,10.0,True,True,
uored-c6799dcb93f933d0,I_5_1,5,developing,inner_race,NSK 6203ZZ,primary,400.0,1799.0,420000,10.0,True,True,
uored-f7e046c333bb00b8,I_5_2,5,faulty,inner_race,NSK 6203ZZ,primary,400.0,1795.0,420000,10.0,True,True,
